************************************************
*                                              *
*                     imies                    *
*                                              *
*         Mie's calculations for any PSD       *
*     definition, particle type, wavelength    *
*            and relative humidity             *
*                                              *
*     Martin Aube 2000                         *
*                                              *
************************************************
 
 Experiment directory /home/martin/AODSEM/Examples/imies
 Executing intermie...
 Root name for input-output files ?(MAX 40 CHAR):
 Extensions .mie (input file), .mie.out (output file) and  .mie.psd (psd file)
 will be add to the root name.
 Reading input file:test.mie.         ..
 Opening output file:test.mie.out...
 ... Termine.
 Ouverture du fichier psd:test.mie.psd...
 ...Done.
 Reading psd file:test.mie.psd.      ..
 ...Done.


 In how many Sub-bins do you wish to split PSD? (MAX.   5000., MIN 1334)
 Closing psd file.
 Particle shape:
 1)  SPHERE                    EXACT
 Defining size increment...
 ...Done
 Defining size distribution...
 |----------------------------|
 |      SIZE DISTRIBUTION     |
 |-------------|--------------|
 | SIZE PARAM. | PSD          |
 |       26.393|      0.004837|
 |       26.527|      0.004772|
 |       26.660|      0.004707|
 |       26.793|      0.004644|
 |       26.927|      0.004581|
 |       27.060|      0.004520|
 |       27.193|      0.004459|
 |       27.327|      0.004400|
 |       27.460|      0.004341|
 |       27.593|      0.004284|
 |       27.726|      0.004227|
 |       27.860|      0.004171|
 |       27.993|      0.004116|
 |       28.126|      0.004062|
 |       28.260|      0.004009|
 |       28.393|      0.003957|
 |       28.526|      0.003905|
 |       28.660|      0.003854|
 |       28.793|      0.003804|
 |       28.926|      0.003755|
 |       29.059|      0.003707|
 |       29.193|      0.003659|
 |       29.326|      0.003612|
 |       29.459|      0.003566|
 |       29.593|      0.003521|
 |       29.726|      0.003476|
 |       29.859|      0.003432|
 |       29.993|      0.003388|
 |       30.126|      0.003345|
 |       30.259|      0.003303|
 |       30.392|      0.003262|
 |       30.526|      0.003221|
 |       30.659|      0.003181|
 |       30.792|      0.003141|
 |       30.926|      0.003102|
 |       31.059|      0.003064|
 |       31.192|      0.003026|
 |       31.326|      0.002988|
 |       31.459|      0.002952|
 |       31.592|      0.002915|
 |       31.725|      0.002880|
 |       31.859|      0.002845|
 |       31.992|      0.002810|
 |       32.125|      0.002776|
 |       32.259|      0.002742|
 |       32.392|      0.002709|
 |       32.525|      0.002676|
 |       32.659|      0.002644|
 |       32.792|      0.002612|
 |       32.925|      0.002581|
 |       33.058|      0.002550|
 |       33.192|      0.002520|
 |       33.325|      0.002490|
 |       33.458|      0.002460|
 |       33.592|      0.002431|
 |       33.725|      0.002402|
 |       33.858|      0.002374|
 |       33.992|      0.002346|
 |       34.125|      0.002319|
 |       34.258|      0.002292|
 |       34.391|      0.002265|
 |       34.525|      0.002238|
 |       34.658|      0.002212|
 |       34.791|      0.002187|
 |       34.925|      0.002162|
 |       35.058|      0.002137|
 |       35.191|      0.002112|
 |       35.325|      0.002088|
 |       35.458|      0.002064|
 |       35.591|      0.002040|
 |       35.724|      0.002017|
 |       35.858|      0.001994|
 |       35.991|      0.001971|
 |       36.124|      0.001949|
 |       36.258|      0.001927|
 |       36.391|      0.001905|
 |       36.524|      0.001884|
 |       36.658|      0.001863|
 |       36.791|      0.001842|
 |       36.924|      0.001821|
 |       37.057|      0.001801|
 |       37.191|      0.001781|
 |       37.324|      0.001761|
 |       37.457|      0.001742|
 |       37.591|      0.001722|
 |       37.724|      0.001703|
 |       37.857|      0.001685|
 |       37.991|      0.001666|
 |       38.124|      0.001648|
 |       38.257|      0.001630|
 |       38.390|      0.001612|
 |       38.524|      0.001595|
 |       38.657|      0.001577|
 |       38.790|      0.001560|
 |       38.924|      0.001543|
 |       39.057|      0.001527|
 |       39.190|      0.001510|
 |       39.324|      0.001494|
 |       39.457|      0.001478|
 |       39.590|      0.001462|
 |       39.723|      0.001447|
 |       39.857|      0.001431|
 |       39.990|      0.001416|
 |       40.123|      0.001401|
 |       40.257|      0.001386|
 |       40.390|      0.001371|
 |       40.523|      0.001357|
 |       40.657|      0.001343|
 |       40.790|      0.001329|
 |       40.923|      0.001315|
 |       41.056|      0.001301|
 |       41.190|      0.001287|
 |       41.323|      0.001274|
 |       41.456|      0.001261|
 |       41.590|      0.001248|
 |       41.723|      0.001235|
 |       41.856|      0.001222|
 |       41.990|      0.001209|
 |       42.123|      0.001197|
 |       42.256|      0.001185|
 |       42.389|      0.001172|
 |       42.523|      0.001160|
 |       42.656|      0.001149|
 |       42.789|      0.001137|
 |       42.923|      0.001125|
 |       43.056|      0.001114|
 |       43.189|      0.001103|
 |       43.323|      0.001091|
 |       43.456|      0.001080|
 |       43.589|      0.001070|
 |       43.722|      0.001059|
 |       43.856|      0.001048|
 |       43.989|      0.001038|
 |       44.122|      0.001027|
 |       44.256|      0.001017|
 |       44.389|      0.001007|
 |       44.522|      0.000997|
 |       44.656|      0.000987|
 |       44.789|      0.000977|
 |       44.922|      0.000968|
 |       45.055|      0.000958|
 |       45.189|      0.000949|
 |       45.322|      0.000939|
 |       45.455|      0.000930|
 |       45.589|      0.000921|
 |       45.722|      0.000912|
 |       45.855|      0.000903|
 |       45.989|      0.000894|
 |       46.122|      0.000886|
 |       46.255|      0.000877|
 |       46.388|      0.000869|
 |       46.522|      0.000860|
 |       46.655|      0.000852|
 |       46.788|      0.000844|
 |       46.922|      0.000836|
 |       47.055|      0.000828|
 |       47.188|      0.000820|
 |       47.322|      0.000812|
 |       47.455|      0.000804|
 |       47.588|      0.000796|
 |       47.721|      0.000789|
 |       47.855|      0.000781|
 |       47.988|      0.000774|
 |       48.121|      0.000767|
 |       48.255|      0.000759|
 |       48.388|      0.000752|
 |       48.521|      0.000745|
 |       48.655|      0.000738|
 |       48.788|      0.000731|
 |       48.921|      0.000724|
 |       49.054|      0.000718|
 |       49.188|      0.000711|
 |       49.321|      0.000704|
 |       49.454|      0.000698|
 |       49.588|      0.000691|
 |       49.721|      0.000685|
 |       49.854|      0.000679|
 |       49.988|      0.000672|
 |       50.121|      0.000666|
 |       50.254|      0.000660|
 |       50.387|      0.000654|
 |       50.521|      0.000648|
 |       50.654|      0.000642|
 |       50.787|      0.000636|
 |       50.921|      0.000630|
 |       51.054|      0.000625|
 |       51.187|      0.000619|
 |       51.321|      0.000613|
 |       51.454|      0.000608|
 |       51.587|      0.000602|
 |       51.720|      0.000597|
 |       51.854|      0.000592|
 |       51.987|      0.000586|
 |       52.120|      0.000581|
 |       52.254|      0.000576|
 |       52.387|      0.000571|
 |       52.520|      0.000566|
 |       52.654|      0.000561|
 |       52.787|      0.000556|
 |       52.920|      0.000551|
 |       53.053|      0.000546|
 |       53.187|      0.000541|
 |       53.320|      0.000536|
 |       53.453|      0.000531|
 |       53.587|      0.000527|
 |       53.720|      0.000522|
 |       53.853|      0.000518|
 |       53.987|      0.000513|
 |       54.120|      0.000508|
 |       54.253|      0.000504|
 |       54.386|      0.000500|
 |       54.520|      0.000495|
 |       54.653|      0.000491|
 |       54.786|      0.000487|
 |       54.920|      0.000483|
 |       55.053|      0.000478|
 |       55.186|      0.000474|
 |       55.320|      0.000470|
 |       55.453|      0.000466|
 |       55.586|      0.000462|
 |       55.719|      0.000458|
 |       55.853|      0.000454|
 |       55.986|      0.000450|
 |       56.119|      0.000446|
 |       56.253|      0.000443|
 |       56.386|      0.000439|
 |       56.519|      0.000435|
 |       56.653|      0.000431|
 |       56.786|      0.000428|
 |       56.919|      0.000424|
 |       57.052|      0.000421|
 |       57.186|      0.000417|
 |       57.319|      0.000414|
 |       57.452|      0.000410|
 |       57.586|      0.000407|
 |       57.719|      0.000403|
 |       57.852|      0.000400|
 |       57.986|      0.000396|
 |       58.119|      0.000393|
 |       58.252|      0.000390|
 |       58.385|      0.000387|
 |       58.519|      0.000383|
 |       58.652|      0.000380|
 |       58.785|      0.000377|
 |       58.919|      0.000374|
 |       59.052|      0.000371|
 |       59.185|      0.000368|
 |       59.319|      0.000365|
 |       59.452|      0.000362|
 |       59.585|      0.000359|
 |       59.718|      0.000356|
 |       59.852|      0.000353|
 |       59.985|      0.000350|
 |       60.118|      0.000347|
 |       60.252|      0.000344|
 |       60.385|      0.000342|
 |       60.518|      0.000339|
 |       60.652|      0.000336|
 |       60.785|      0.000333|
 |       60.918|      0.000331|
 |       61.051|      0.000328|
 |       61.185|      0.000325|
 |       61.318|      0.000323|
 |       61.451|      0.000320|
 |       61.585|      0.000318|
 |       61.718|      0.000315|
 |       61.851|      0.000313|
 |       61.985|      0.000310|
 |       62.118|      0.000308|
 |       62.251|      0.000305|
 |       62.384|      0.000303|
 |       62.518|      0.000300|
 |       62.651|      0.000298|
 |       62.784|      0.000296|
 |       62.918|      0.000293|
 |       63.051|      0.000291|
 |       63.184|      0.000289|
 |       63.318|      0.000286|
 |       63.451|      0.000284|
 |       63.584|      0.000282|
 |       63.717|      0.000280|
 |       63.851|      0.000277|
 |       63.984|      0.000275|
 |       64.117|      0.000273|
 |       64.251|      0.000271|
 |       64.384|      0.000269|
 |       64.517|      0.000267|
 |       64.651|      0.000265|
 |       64.784|      0.000263|
 |       64.917|      0.000261|
 |       65.050|      0.000259|
 |       65.184|      0.000257|
 |       65.317|      0.000255|
 |       65.450|      0.000253|
 |       65.584|      0.000251|
 |       65.717|      0.000249|
 |       65.850|      0.000247|
 |       65.984|      0.000245|
 |       66.117|      0.000243|
 |       66.250|      0.000241|
 |       66.383|      0.000239|
 |       66.517|      0.000238|
 |       66.650|      0.000236|
 |       66.783|      0.000234|
 |       66.917|      0.000232|
 |       67.050|      0.000231|
 |       67.183|      0.000229|
 |       67.317|      0.000227|
 |       67.450|      0.000225|
 |       67.583|      0.000224|
 |       67.716|      0.000222|
 |       67.850|      0.000220|
 |       67.983|      0.000219|
 |       68.116|      0.000217|
 |       68.250|      0.000215|
 |       68.383|      0.000214|
 |       68.516|      0.000212|
 |       68.650|      0.000211|
 |       68.783|      0.000209|
 |       68.916|      0.000207|
 |       69.049|      0.000206|
 |       69.183|      0.000204|
 |       69.316|      0.000203|
 |       69.449|      0.000201|
 |       69.583|      0.000200|
 |       69.716|      0.000198|
 |       69.849|      0.000197|
 |       69.983|      0.000196|
 |       70.116|      0.000194|
 |       70.249|      0.000193|
 |       70.382|      0.000191|
 |       70.516|      0.000190|
 |       70.649|      0.000188|
 |       70.782|      0.000187|
 |       70.916|      0.000186|
 |       71.049|      0.000184|
 |       71.182|      0.000183|
 |       71.316|      0.000182|
 |       71.449|      0.000180|
 |       71.582|      0.000179|
 |       71.715|      0.000178|
 |       71.849|      0.000177|
 |       71.982|      0.000175|
 |       72.115|      0.000174|
 |       72.249|      0.000173|
 |       72.382|      0.000172|
 |       72.515|      0.000170|
 |       72.649|      0.000169|
 |       72.782|      0.000168|
 |       72.915|      0.000167|
 |       73.048|      0.000165|
 |       73.182|      0.000164|
 |       73.315|      0.000163|
 |       73.448|      0.000162|
 |       73.582|      0.000161|
 |       73.715|      0.000160|
 |       73.848|      0.000159|
 |       73.982|      0.000157|
 |       74.115|      0.000156|
 |       74.248|      0.000155|
 |       74.381|      0.000154|
 |       74.515|      0.000153|
 |       74.648|      0.000152|
 |       74.781|      0.000151|
 |       74.915|      0.000150|
 |       75.048|      0.000149|
 |       75.181|      0.000148|
 |       75.315|      0.000147|
 |       75.448|      0.000146|
 |       75.581|      0.000145|
 |       75.714|      0.000144|
 |       75.848|      0.000143|
 |       75.981|      0.000142|
 |       76.114|      0.000141|
 |       76.248|      0.000140|
 |       76.381|      0.000139|
 |       76.514|      0.000138|
 |       76.648|      0.000137|
 |       76.781|      0.000136|
 |       76.914|      0.000135|
 |       77.047|      0.000134|
 |       77.181|      0.000133|
 |       77.314|      0.000132|
 |       77.447|      0.000131|
 |       77.581|      0.000130|
 |       77.714|      0.000129|
 |       77.847|      0.000129|
 |       77.981|      0.000128|
 |       78.114|      0.000127|
 |       78.247|      0.000126|
 |       78.380|      0.000125|
 |       78.514|      0.000124|
 |       78.647|      0.000123|
 |       78.780|      0.000123|
 |       78.914|      0.000122|
 |       79.047|      0.000121|
 |       79.180|      0.000120|
 |       79.314|      0.000119|
 |       79.447|      0.000119|
 |       79.580|      0.000118|
 |       79.713|      0.000117|
 |       79.847|      0.000116|
 |       79.980|      0.000115|
 |       80.113|      0.000115|
 |       80.247|      0.000114|
 |       80.380|      0.000113|
 |       80.513|      0.000112|
 |       80.647|      0.000112|
 |       80.780|      0.000111|
 |       80.913|      0.000110|
 |       81.046|      0.000109|
 |       81.180|      0.000109|
 |       81.313|      0.000108|
 |       81.446|      0.000107|
