************************************************
*                                              *
*                     imies                    *
*                                              *
*         Mie's calculations for any PSD       *
*     definition, particle type, wavelength    *
*            and relative humidity             *
*                                              *
*     Martin Aube 2000                         *
*                                              *
************************************************
 
 Experiment directory /home/martin/AODSEM/Examples/imies
 Executing intermie...
 Root name for input-output files ?(MAX 40 CHAR):
 Extensions .mie (input file), .mie.out (output file) and  .mie.psd (psd file)
 will be add to the root name.
 Reading input file:test.mie.         ..
 Opening output file:test.mie.out...
 ... Termine.
 Ouverture du fichier psd:test.mie.psd...
 ...Done.
 Reading psd file:test.mie.psd.      ..
 ...Done.


 In how many Sub-bins do you wish to split PSD? (MAX.   5000., MIN 1334)
 Closing psd file.
 Particle shape:
 1)  SPHERE                    EXACT
 Defining size increment...
 ...Done
 Defining size distribution...
 |----------------------------|
 |      SIZE DISTRIBUTION     |
 |-------------|--------------|
 | SIZE PARAM. | PSD          |
 |      111.839|      0.000028|
 |      111.972|      0.000028|
 |      112.105|      0.000028|
 |      112.239|      0.000028|
 |      112.372|      0.000027|
 |      112.505|      0.000027|
 |      112.639|      0.000027|
 |      112.772|      0.000027|
 |      112.905|      0.000027|
 |      113.039|      0.000027|
 |      113.172|      0.000027|
 |      113.305|      0.000026|
 |      113.438|      0.000026|
 |      113.572|      0.000026|
 |      113.705|      0.000026|
 |      113.838|      0.000026|
 |      113.972|      0.000026|
 |      114.105|      0.000026|
 |      114.238|      0.000025|
 |      114.372|      0.000025|
 |      114.505|      0.000025|
 |      114.638|      0.000025|
 |      114.771|      0.000025|
 |      114.905|      0.000025|
 |      115.038|      0.000025|
 |      115.171|      0.000025|
 |      115.305|      0.000024|
 |      115.438|      0.000024|
 |      115.571|      0.000024|
 |      115.705|      0.000024|
 |      115.838|      0.000024|
 |      115.971|      0.000024|
 |      116.104|      0.000024|
 |      116.238|      0.000024|
 |      116.371|      0.000023|
 |      116.504|      0.000023|
 |      116.638|      0.000023|
 |      116.771|      0.000023|
 |      116.904|      0.000023|
 |      117.038|      0.000023|
 |      117.171|      0.000023|
 |      117.304|      0.000023|
 |      117.437|      0.000022|
 |      117.571|      0.000022|
 |      117.704|      0.000022|
 |      117.837|      0.000022|
 |      117.971|      0.000022|
 |      118.104|      0.000022|
 |      118.237|      0.000022|
 |      118.371|      0.000022|
 |      118.504|      0.000022|
 |      118.637|      0.000021|
 |      118.770|      0.000021|
 |      118.904|      0.000021|
 |      119.037|      0.000021|
 |      119.170|      0.000021|
 |      119.304|      0.000021|
 |      119.437|      0.000021|
 |      119.570|      0.000021|
 |      119.704|      0.000021|
 |      119.837|      0.000021|
 |      119.970|      0.000020|
 |      120.103|      0.000020|
 |      120.237|      0.000020|
 |      120.370|      0.000020|
 |      120.503|      0.000020|
 |      120.637|      0.000020|
 |      120.770|      0.000020|
 |      120.903|      0.000020|
 |      121.037|      0.000020|
 |      121.170|      0.000020|
 |      121.303|      0.000019|
 |      121.436|      0.000019|
 |      121.570|      0.000019|
 |      121.703|      0.000019|
 |      121.836|      0.000019|
 |      121.970|      0.000019|
 |      122.103|      0.000019|
 |      122.236|      0.000019|
 |      122.370|      0.000019|
 |      122.503|      0.000019|
 |      122.636|      0.000018|
 |      122.769|      0.000018|
 |      122.903|      0.000018|
 |      123.036|      0.000018|
 |      123.169|      0.000018|
 |      123.303|      0.000018|
 |      123.436|      0.000018|
 |      123.569|      0.000018|
 |      123.703|      0.000018|
 |      123.836|      0.000018|
 |      123.969|      0.000018|
 |      124.102|      0.000018|
 |      124.236|      0.000017|
 |      124.369|      0.000017|
 |      124.502|      0.000017|
 |      124.636|      0.000017|
 |      124.769|      0.000017|
 |      124.902|      0.000017|
 |      125.036|      0.000017|
 |      125.169|      0.000017|
 |      125.302|      0.000017|
 |      125.435|      0.000017|
 |      125.569|      0.000017|
 |      125.702|      0.000017|
 |      125.835|      0.000016|
 |      125.969|      0.000016|
 |      126.102|      0.000016|
 |      126.235|      0.000016|
 |      126.369|      0.000016|
 |      126.502|      0.000016|
 |      126.635|      0.000016|
 |      126.768|      0.000016|
 |      126.902|      0.000016|
 |      127.035|      0.000016|
 |      127.168|      0.000016|
 |      127.302|      0.000016|
 |      127.435|      0.000016|
 |      127.568|      0.000015|
 |      127.702|      0.000015|
 |      127.835|      0.000015|
 |      127.968|      0.000015|
 |      128.101|      0.000015|
 |      128.235|      0.000015|
 |      128.368|      0.000015|
 |      128.501|      0.000015|
 |      128.635|      0.000015|
 |      128.768|      0.000015|
 |      128.901|      0.000015|
 |      129.035|      0.000015|
 |      129.168|      0.000015|
 |      129.301|      0.000015|
 |      129.434|      0.000014|
 |      129.568|      0.000014|
 |      129.701|      0.000014|
 |      129.834|      0.000014|
 |      129.968|      0.000014|
 |      130.101|      0.000014|
 |      130.234|      0.000014|
 |      130.368|      0.000014|
 |      130.501|      0.000014|
 |      130.634|      0.000014|
 |      130.767|      0.000014|
 |      130.901|      0.000014|
 |      131.034|      0.000014|
 |      131.167|      0.000014|
 |      131.301|      0.000014|
 |      131.434|      0.000013|
 |      131.567|      0.000013|
 |      131.701|      0.000013|
 |      131.834|      0.000013|
 |      131.967|      0.000013|
 |      132.100|      0.000013|
 |      132.234|      0.000013|
 |      132.367|      0.000013|
 |      132.500|      0.000013|
 |      132.634|      0.000013|
 |      132.767|      0.000013|
 |      132.900|      0.000013|
 |      133.034|      0.000013|
 |      133.167|      0.000013|
 |      133.300|      0.000013|
 |      133.433|      0.000013|
 |      133.567|      0.000012|
 |      133.700|      0.000012|
 |      133.833|      0.000012|
 |      133.967|      0.000012|
 |      134.100|      0.000012|
 |      134.233|      0.000012|
 |      134.367|      0.000012|
 |      134.500|      0.000012|
 |      134.633|      0.000012|
 |      134.766|      0.000012|
 |      134.900|      0.000012|
 |      135.033|      0.000012|
 |      135.166|      0.000012|
 |      135.300|      0.000012|
 |      135.433|      0.000012|
 |      135.566|      0.000012|
 |      135.700|      0.000012|
 |      135.833|      0.000012|
 |      135.966|      0.000011|
 |      136.099|      0.000011|
 |      136.233|      0.000011|
 |      136.366|      0.000011|
 |      136.499|      0.000011|
 |      136.633|      0.000011|
 |      136.766|      0.000011|
 |      136.899|      0.000011|
 |      137.033|      0.000011|
 |      137.166|      0.000011|
 |      137.299|      0.000011|
 |      137.432|      0.000011|
 |      137.566|      0.000011|
 |      137.699|      0.000011|
 |      137.832|      0.000011|
 |      137.966|      0.000011|
 |      138.099|      0.000011|
 |      138.232|      0.000011|
 |      138.366|      0.000011|
 |      138.499|      0.000011|
 |      138.632|      0.000011|
 |      138.765|      0.000010|
 |      138.899|      0.000010|
 |      139.032|      0.000010|
 |      139.165|      0.000010|
 |      139.299|      0.000010|
 |      139.432|      0.000010|
 |      139.565|      0.000010|
 |      139.699|      0.000010|
 |      139.832|      0.000010|
 |      139.965|      0.000010|
 |      140.098|      0.000010|
 |      140.232|      0.000010|
 |      140.365|      0.000010|
 |      140.498|      0.000010|
 |      140.632|      0.000010|
 |      140.765|      0.000010|
 |      140.898|      0.000010|
 |      141.032|      0.000010|
 |      141.165|      0.000010|
 |      141.298|      0.000010|
 |      141.431|      0.000010|
 |      141.565|      0.000010|
 |      141.698|      0.000009|
 |      141.831|      0.000009|
 |      141.965|      0.000009|
 |      142.098|      0.000009|
 |      142.231|      0.000009|
 |      142.365|      0.000009|
 |      142.498|      0.000009|
 |      142.631|      0.000009|
 |      142.764|      0.000009|
 |      142.898|      0.000009|
 |      143.031|      0.000009|
 |      143.164|      0.000009|
 |      143.298|      0.000009|
 |      143.431|      0.000009|
 |      143.564|      0.000009|
 |      143.698|      0.000009|
 |      143.831|      0.000009|
 |      143.964|      0.000009|
 |      144.097|      0.000009|
 |      144.231|      0.000009|
 |      144.364|      0.000009|
 |      144.497|      0.000009|
 |      144.631|      0.000009|
 |      144.764|      0.000009|
 |      144.897|      0.000009|
 |      145.031|      0.000008|
 |      145.164|      0.000008|
 |      145.297|      0.000008|
 |      145.430|      0.000008|
 |      145.564|      0.000008|
 |      145.697|      0.000008|
 |      145.830|      0.000008|
 |      145.964|      0.000008|
 |      146.097|      0.000008|
 |      146.230|      0.000008|
 |      146.364|      0.000008|
 |      146.497|      0.000008|
 |      146.630|      0.000008|
 |      146.763|      0.000008|
 |      146.897|      0.000008|
 |      147.030|      0.000008|
 |      147.163|      0.000008|
 |      147.297|      0.000008|
 |      147.430|      0.000008|
 |      147.563|      0.000008|
 |      147.697|      0.000008|
 |      147.830|      0.000008|
 |      147.963|      0.000008|
 |      148.096|      0.000008|
 |      148.230|      0.000008|
 |      148.363|      0.000008|
 |      148.496|      0.000008|
 |      148.630|      0.000008|
 |      148.763|      0.000008|
 |      148.896|      0.000007|
 |      149.030|      0.000007|
 |      149.163|      0.000007|
 |      149.296|      0.000007|
 |      149.429|      0.000007|
 |      149.563|      0.000007|
 |      149.696|      0.000007|
 |      149.829|      0.000007|
 |      149.963|      0.000007|
 |      150.096|      0.000007|
 |      150.229|      0.000007|
 |      150.363|      0.000007|
 |      150.496|      0.000007|
 |      150.629|      0.000007|
 |      150.762|      0.000007|
 |      150.896|      0.000007|
 |      151.029|      0.000007|
 |      151.162|      0.000007|
 |      151.296|      0.000007|
 |      151.429|      0.000007|
 |      151.562|      0.000007|
 |      151.696|      0.000007|
 |      151.829|      0.000007|
 |      151.962|      0.000007|
 |      152.095|      0.000007|
 |      152.229|      0.000007|
 |      152.362|      0.000007|
 |      152.495|      0.000007|
 |      152.629|      0.000007|
 |      152.762|      0.000007|
 |      152.895|      0.000007|
 |      153.029|      0.000007|
 |      153.162|      0.000007|
 |      153.295|      0.000007|
 |      153.428|      0.000006|
 |      153.562|      0.000006|
 |      153.695|      0.000006|
 |      153.828|      0.000006|
 |      153.962|      0.000006|
 |      154.095|      0.000006|
 |      154.228|      0.000006|
 |      154.362|      0.000006|
 |      154.495|      0.000006|
 |      154.628|      0.000006|
 |      154.761|      0.000006|
 |      154.895|      0.000006|
 |      155.028|      0.000006|
 |      155.161|      0.000006|
 |      155.295|      0.000006|
 |      155.428|      0.000006|
 |      155.561|      0.000006|
 |      155.695|      0.000006|
 |      155.828|      0.000006|
 |      155.961|      0.000006|
 |      156.094|      0.000006|
 |      156.228|      0.000006|
 |      156.361|      0.000006|
 |      156.494|      0.000006|
 |      156.628|      0.000006|
 |      156.761|      0.000006|
 |      156.894|      0.000006|
 |      157.028|      0.000006|
 |      157.161|      0.000006|
 |      157.294|      0.000006|
 |      157.427|      0.000006|
 |      157.561|      0.000006|
 |      157.694|      0.000006|
 |      157.827|      0.000006|
 |      157.961|      0.000006|
 |      158.094|      0.000006|
 |      158.227|      0.000006|
 |      158.361|      0.000006|
 |      158.494|      0.000006|
 |      158.627|      0.000006|
 |      158.760|      0.000006|
 |      158.894|      0.000005|
 |      159.027|      0.000005|
 |      159.160|      0.000005|
 |      159.294|      0.000005|
 |      159.427|      0.000005|
 |      159.560|      0.000005|
 |      159.694|      0.000005|
 |      159.827|      0.000005|
 |      159.960|      0.000005|
 |      160.093|      0.000005|
 |      160.227|      0.000005|
 |      160.360|      0.000005|
 |      160.493|      0.000005|
 |      160.627|      0.000005|
 |      160.760|      0.000005|
 |      160.893|      0.000005|
 |      161.027|      0.000005|
 |      161.160|      0.000005|
 |      161.293|      0.000005|
 |      161.426|      0.000005|
 |      161.560|      0.000005|
 |      161.693|      0.000005|
 |      161.826|      0.000005|
 |      161.960|      0.000005|
 |      162.093|      0.000005|
 |      162.226|      0.000005|
 |      162.360|      0.000005|
 |      162.493|      0.000005|
 |      162.626|      0.000005|
 |      162.759|      0.000005|
 |      162.893|      0.000005|
 |      163.026|      0.000005|
 |      163.159|      0.000005|
 |      163.293|      0.000005|
 |      163.426|      0.000005|
 |      163.559|      0.000005|
 |      163.693|      0.000005|
 |      163.826|      0.000005|
 |      163.959|      0.000005|
 |      164.092|      0.000005|
 |      164.226|      0.000005|
 |      164.359|      0.000005|
 |      164.492|      0.000005|
 |      164.626|      0.000005|
 |      164.759|      0.000005|
 |      164.892|      0.000005|
 |      165.026|      0.000005|
 |      165.159|      0.000005|
 |      165.292|      0.000005|
 |      165.425|      0.000005|
 |      165.559|      0.000004|
 |      165.692|      0.000004|
 |      165.825|      0.000004|
 |      165.959|      0.000004|
 |      166.092|      0.000004|
 |      166.225|      0.000004|
 |      166.359|      0.000004|
 |      166.492|      0.000004|
 |      166.625|      0.000004|
 |      166.758|      0.000004|
 |      166.892|      0.000004|
 |      167.025|      0.000004|
 |      167.158|      0.000004|
 |      167.292|      0.000004|
 |      167.425|      0.000004|
 |      167.558|      0.000004|
 |      167.692|      0.000004|
 |      167.825|      0.000004|
 |      167.958|      0.000004|
 |      168.091|      0.000004|
 |      168.225|      0.000004|
 |      168.358|      0.000004|
 |      168.491|      0.000004|
 |      168.625|      0.000004|
 |      168.758|      0.000004|
 |      168.891|      0.000004|
 |      169.025|      0.000004|
 |      169.158|      0.000004|
 |      169.291|      0.000004|
 |      169.424|      0.000004|
 |      169.558|      0.000004|
 |      169.691|      0.000004|
 |      169.824|      0.000004|
 |      169.958|      0.000004|
 |      170.091|      0.000004|
 |      170.224|      0.000004|
 |      170.358|      0.000004|
 |      170.491|      0.000004|
 |      170.624|      0.000004|
 |      170.757|      0.000004|
 |      170.891|      0.000004|
 |      171.024|      0.000004|
 |      171.157|      0.000004|
 |      171.291|      0.000004|
 |      171.424|      0.000004|
 |      171.557|      0.000004|
 |      171.691|      0.000004|
 |      171.824|      0.000004|
 |      171.957|      0.000004|
 |      172.090|      0.000004|
 |      172.224|      0.000004|
 |      172.357|      0.000004|
 |      172.490|      0.000004|
 |      172.624|      0.000004|
 |      172.757|      0.000004|
 |      172.890|      0.000004|
 |      173.024|      0.000004|
 |      173.157|      0.000004|
 |      173.290|      0.000004|
 |      173.423|      0.000004|
 |      173.557|      0.000004|
 |      173.690|      0.000004|
 |      173.823|      0.000004|
 |      173.957|      0.000004|
 |      174.090|      0.000004|
 |      174.223|      0.000003|
 |      174.357|      0.000003|
 |      174.490|      0.000003|
 |      174.623|      0.000003|
 |      174.756|      0.000003|
 |      174.890|      0.000003|
 |      175.023|      0.000003|
 |      175.156|      0.000003|
 |      175.290|      0.000003|
 |      175.423|      0.000003|
 |      175.556|      0.000003|
 |      175.690|      0.000003|
 |      175.823|      0.000003|
 |      175.956|      0.000003|
 |      176.089|      0.000003|
 |      176.223|      0.000003|
 |      176.356|      0.000003|
 |      176.489|      0.000003|
 |      176.623|      0.000003|
 |      176.756|      0.000003|
 |      176.889|      0.000003|
 |      177.023|      0.000003|
 |      177.156|      0.000003|
 |      177.289|      0.000003|
 |      177.422|      0.000003|
 |      177.556|      0.000003|
 |      177.689|      0.000003|
 |      177.822|      0.000003|
 |      177.956|      0.000003|
 |      178.089|      0.000003|
 |      178.222|      0.000003|
 |      178.356|      0.000003|
 |      178.489|      0.000003|
 |      178.622|      0.000003|
 |      178.755|      0.000003|
 |      178.889|      0.000003|
 |      179.022|      0.000003|
 |      179.155|      0.000003|
 |      179.289|      0.000003|
 |      179.422|      0.000003|
 |      179.555|      0.000003|
 |      179.689|      0.000003|
 |      179.822|      0.000003|
 |      179.955|      0.000003|
 |      180.088|      0.000003|
 |      180.222|      0.000003|
 |      180.355|      0.000003|
 |      180.488|      0.000003|
 |      180.622|      0.000003|
 |      180.755|      0.000003|
 |      180.888|      0.000003|
 |      181.022|      0.000003|
 |      181.155|      0.000003|
 |      181.288|      0.000003|
 |      181.421|      0.000003|
 |      181.555|      0.000003|
 |      181.688|      0.000003|
 |      181.821|      0.000003|
 |      181.955|      0.000003|
 |      182.088|      0.000003|
 |      182.221|      0.000003|
 |      182.355|      0.000003|
 |      182.488|      0.000003|
 |      182.621|      0.000003|
 |      182.754|      0.000003|
 |      182.888|      0.000003|
 |      183.021|      0.000003|
 |      183.154|      0.000003|
 |      183.288|      0.000003|
 |      183.421|      0.000003|
 |      183.554|      0.000003|
 |      183.688|      0.000003|
 |      183.821|      0.000003|
 |      183.954|      0.000003|
 |      184.087|      0.000003|
 |      184.221|      0.000003|
 |      184.354|      0.000003|
 |      184.487|      0.000003|
 |      184.621|      0.000003|
 |      184.754|      0.000003|
 |      184.887|      0.000003|
 |      185.021|      0.000003|
 |      185.154|      0.000003|
 |      185.287|      0.000003|
 |      185.420|      0.000003|
 |      185.554|      0.000003|
 |      185.687|      0.000003|
 |      185.820|      0.000003|
 |      185.954|      0.000003|
 |      186.087|      0.000003|
 |      186.220|      0.000003|
 |      186.354|      0.000002|
 |      186.487|      0.000002|
 |      186.620|      0.000002|
 |      186.753|      0.000002|
 |      186.887|      0.000002|
 |      187.020|      0.000002|
 |      187.153|      0.000002|
 |      187.287|      0.000002|
 |      187.420|      0.000002|
 |      187.553|      0.000002|
 |      187.687|      0.000002|
 |      187.820|      0.000002|
 |      187.953|      0.000002|
 |      188.086|      0.000002|
 |      188.220|      0.000002|
 |      188.353|      0.000002|
 |      188.486|      0.000002|
 |      188.620|      0.000002|
 |      188.753|      0.000002|
 |      188.886|      0.000002|
 |      189.020|      0.000002|
 |      189.153|      0.000002|
 |      189.286|      0.000002|
 |      189.419|      0.000002|
 |      189.553|      0.000002|
 |      189.686|      0.000002|
 |      189.819|      0.000002|
 |      189.953|      0.000002|
 |      190.086|      0.000002|
 |      190.219|      0.000002|
 |      190.353|      0.000002|
 |      190.486|      0.000002|
 |      190.619|      0.000002|
 |      190.752|      0.000002|
 |      190.886|      0.000002|
 |      191.019|      0.000002|
 |      191.152|      0.000002|
 |      191.286|      0.000002|
 |      191.419|      0.000002|
 |      191.552|      0.000002|
 |      191.686|      0.000002|
 |      191.819|      0.000002|
 |      191.952|      0.000002|
 |      192.085|      0.000002|
 |      192.219|      0.000002|
 |      192.352|      0.000002|
 |      192.485|      0.000002|
 |      192.619|      0.000002|
 |      192.752|      0.000002|
 |      192.885|      0.000002|
 |      193.019|      0.000002|
 |      193.152|      0.000002|
 |      193.285|      0.000002|
 |      193.418|      0.000002|
 |      193.552|      0.000002|
 |      193.685|      0.000002|
 |      193.818|      0.000002|
 |      193.952|      0.000002|
 |      194.085|      0.000002|
 |      194.218|      0.000002|
 |      194.352|      0.000002|
 |      194.485|      0.000002|
 |      194.618|      0.000002|
 |      194.751|      0.000002|
 |      194.885|      0.000002|
 |      195.018|      0.000002|
 |      195.151|      0.000002|
 |      195.285|      0.000002|
 |      195.418|      0.000002|
 |      195.551|      0.000002|
 |      195.685|      0.000002|
 |      195.818|      0.000002|
 |      195.951|      0.000002|
 |      196.084|      0.000002|
 |      196.218|      0.000002|
 |      196.351|      0.000002|
 |      196.484|      0.000002|
 |      196.618|      0.000002|
 |      196.751|      0.000002|
 |      196.884|      0.000002|
 |      197.018|      0.000002|
 |      197.151|      0.000002|
 |      197.284|      0.000002|
 |      197.417|      0.000002|
 |      197.551|      0.000002|
 |      197.684|      0.000002|
 |      197.817|      0.000002|
 |      197.951|      0.000002|
 |      198.084|      0.000002|
 |      198.217|      0.000002|
 |      198.351|      0.000002|
 |      198.484|      0.000002|
 |      198.617|      0.000002|
 |      198.750|      0.000002|
 |      198.884|      0.000002|
 |      199.017|      0.000002|
 |      199.150|      0.000002|
 |      199.284|      0.000002|
 |      199.417|      0.000002|
 |      199.550|      0.000002|
 |      199.684|      0.000002|
 |      199.817|      0.000002|
 |      199.950|      0.000002|
 |----------------------------|
 ...Done.
 Optical computations...
 Random polarization state
 Indice de refraction= 1.500 -i .00000E+00
 finished Mie computations for size parameter =     6.80
 finished Mie computations for size parameter =    13.46
 finished Mie computations for size parameter =    20.13
 finished Mie computations for size parameter =    26.79
 finished Mie computations for size parameter =    33.46
 finished Mie computations for size parameter =    40.12
 finished Mie computations for size parameter =    46.79
 finished Mie computations for size parameter =    53.45
 finished Mie computations for size parameter =    60.12
 finished Mie computations for size parameter =    66.78
 finished Mie computations for size parameter =    73.45
 finished Mie computations for size parameter =    80.11
 finished Mie computations for size parameter =    86.78
 finished Mie computations for size parameter =    93.44
 finished Mie computations for size parameter =   100.11
 finished Mie computations for size parameter =   106.77
 finished Mie computations for size parameter =   113.44
 finished Mie computations for size parameter =   120.10
 finished Mie computations for size parameter =   126.77
 finished Mie computations for size parameter =   133.43
 finished Mie computations for size parameter =   140.10
 finished Mie computations for size parameter =   146.76
 finished Mie computations for size parameter =   153.43
 finished Mie computations for size parameter =   160.09
 finished Mie computations for size parameter =   166.76
 finished Mie computations for size parameter =   173.42
 finished Mie computations for size parameter =   180.09
 finished Mie computations for size parameter =   186.75
 finished Mie computations for size parameter =   193.42
 finished Mie computations for size parameter =   200.08
 ...Done.
 Closing input-output files...
 ...Done.
  
 Computation result in file: test.mie.out
 ...end of mies !
 Deleting temporary files in  /home/martin/AODSEM/Examples/imies
 Normal end of imies.
