Year Month Day Latitude Longitude Size
1960 7 7 50.9 -122.3 404.60
1960 8 18 49.3437 -72.9498 242.82
1960 6 29 64.6 -116.17 1241.60
1960 8 24 55.55 -105.95 9311.74
1960 6 28 63.6 -116.83 4556.80
1960 8 10 53.1 -124 1214.00
1960 6 27 49.4593 -74.2264 223.80
1960 7 8 55.4 -100.52 647.77
1960 11 26 51.681 -100.935 445.34
1960 7 13 51.0611 -118.0245 520.00
1960 7 8 54.998 -99.549 485.83
1960 6 18 63.28 -112.18 486.40
1960 7 13 49.7 -115.4 4226.90
1960 6 20 63.53 -122.75 520.00
1960 8 4 51.8 -120.5 202.30
1960 7 8 54.817 -98.418 728.75
1960 7 18 57.57 -103.6 5182.18
1960 7 13 52.4 -120 809.30
1960 8 18 56.3 -103.63 404.85
1960 5 30 45.6498 -75.2083 316.47
1960 7 30 53.7 -120 1456.80
1960 9 6 52.325 -100.876 380.57
1960 7 23 49.9375 -86.125 943.00
1960 6 2 47.8 -53.15 259.00
1960 7 19 48.1 -53.88 1293.00
1960 7 4 50.0625 -90.375 296.00
1960 7 13 52.4 -119.2 445.10
1960 7 25 51 -119.5 1011.70
1960 7 20 60.05 -124.73 559.30
1960 7 9 53.474 -97.47 344.13
1960 7 8 54.336 -100.413 404.86
1960 7 30 55.6 -122.8 5115.20
1960 12 3 51.856 -100.652 380.57
1960 7 13 52.2 -119.9 222.50
1960 7 18 56.93 -103.17 748.98
1960 4 29 55.5 -121.6 363.00
1960 6 29 64.43 -116.37 3056.00
1960 6 27 63.87 -118.88 5468.80
1960 7 30 55.3 -122.3 5932.70
1960 6 19 63.18 -113.57 307.20
1960 7 13 51.1 -116.3 360.10
1960 8 10 53.4 -124.6 485.60
1960 7 18 48.477 -67.9097 1424.00
1960 7 13 52 -119.4 574.60
1960 7 13 49.1 -114.6 1108.80
1960 6 6 54.3 -93.35 404.86
1960 5 30 45.9279 -74.9278 3108.05
1960 6 11 56.2 -121.6 728.40
1960 7 8 55.083 -100.033 1700.41
1960 7 13 52.3 -119.2 323.70
1960 6 24 64.42 -116.83 10137.60
1960 5 30 46.2006 -73.9958 810.20
1960 5 30 48.509 -67.2699 641.44
1960 6 27 63.65 -119.5 230.40
1960 8 25 48.9733 -66.7775 3128.29
1960 8 29 45.75 -64.17 715.00
1960 7 8 55.4 -99.617 485.83
1960 8 28 56.1 -103.5 33603.23
1960 8 16 48.9211 -69.056 9324.16
1960 5 30 45.6557 -75.5582 264.67
1960 7 8 54.853 -101.875 313.77
1960 7 8 49.6 -115.1 3014.90
1960 7 7 56.225 -101.633 4858.30
1960 8 14 56.52 -105.77 21246.96
1960 5 31 48.5053 -64.5111 226.63
1960 10 1 49.2 -119.6 242.80
1960 7 8 55.3 -100.817 647.77
1960 5 9 55.9 -121.4 569.70
1960 4 30 55.6 -121.3 543.80
1960 8 11 50.9 -118.2 283.20
1960 5 10 52.001 -100.249 2558.70
1960 10 10 51.404 -100.546 242.92
1960 5 28 49.45 -53.98 4534.00
1960 7 19 49.4 -120.1 566.50
1960 8 16 56.05 -101.433 1943.32
1960 5 28 48.49 -67.9101 511.94
1960 7 14 50.1 -120.1 809.30
1960 5 7 46.98 -52.97 729.00
1960 9 4 53.805 -99.348 404.86
1960 4 30 45.2 -61.37 784.00
1960 7 11 57.48 -108.37 4680.16
1960 7 13 52.1 -119 408.70
1960 6 22 54.9 -94.367 1052.63
1960 8 22 48.4835 -64.5823 256.58
1960 7 7 50.1 -119.4 526.00
1960 7 19 49 -118.7 214.40
1960 8 3 60.149 -133.896 724.94
1960 6 19 63.52 -115.48 268.00
1960 6 22 66.08 -117.57 3984.00
1960 5 28 49.9 -55.73 259.00
1960 7 6 54.831 -100.121 3643.73
1960 8 18 51.4667 -116.6833 1000.00
1960 6 22 56.133 -94.9 1012.15
1960 8 3 52 -117.7 206.30
1960 5 15 58.287 -115.942 1578.95
1960 5 30 50.4802 -70.6019 526.10
1960 7 13 52.5 -121.3 728.40
1960 8 1 56.8 -124.8 492.50
1960 7 5 54.1 -97.395 6477.73
1960 8 10 54.2 -120.8 971.20
1960 8 10 53.6 -124.5 1746.20
1960 8 26 43.83 -65.33 3968.00
1960 8 22 48.4604 -64.5264 793.20
1960 6 24 64.08 -116.92 6809.60
1960 7 27 50.1 -120.6 1966.70
1960 8 10 55.52 -105.45 2429.15
1960 8 23 54.583 -94.192 202.43
1960 6 19 61.92 -111.02 400.00
1960 7 9 53.212 -96.861 404.86
1960 7 12 50 -120.6 1396.10
1960 7 8 54.235 -100.275 323.89
1960 7 8 54.904 -100.273 3562.75
1960 7 11 52.776 -96.358 640.00
1960 7 31 54.4 -123.4 493.70
1960 7 9 53.35 -95.583 2429.15
1960 7 13 51.5 -119.6 352.00
1960 7 6 54.183 -94.35 5303.64
1960 7 26 49 -118.3 226.20
1960 7 4 55.05 -101.183 2226.72
1960 7 30 56.1 -122.8 7452.70
1960 7 12 53 -122.3 335.80
1960 7 8 55.4 -99.633 607.29
1960 7 11 57.43 -103.6 25910.93
1960 7 11 57.97 -104.2 15546.55
1960 7 12 49.7 -117.5 242.80
1960 7 11 50.81 -94.41 405.00
1960 7 8 54.853 -101.862 809.72
1960 7 8 55.767 -98.75 10931.17
1960 7 9 53.663 -96.536 9109.31
1960 7 8 54.635 -99.304 202.43
1960 9 1 48.63 -54.52 680.00
1960 7 13 51.7 -117.6 260.80
1960 7 9 54.542 -95.55 404.86
1960 7 8 54.911 -100.337 5951.42
1960 7 9 49.6875 -87.375 1214.00
1960 7 9 53.117 -95.283 5060.73
1960 7 9 53.722 -96.727 607.29
1960 7 9 53.367 -94.783 3643.73
1960 7 13 50.7 -117.7 586.70
1960 7 16 55.75 -101.95 1457.49
1960 7 9 50.9375 -94.875 283.00
1960 5 10 66.7 -136.66 6422.86
1960 7 8 54.802 -100.489 5668.02
1960 7 8 55.133 -99.633 364.37
1960 6 25 63.72 -122.12 800.00
1960 7 13 53.2 -120.3 821.50
1960 7 1 52.4 -117.7 473.40
1960 7 21 52.219 -95.429 269.00
1960 7 6 55.967 -96.217 5587.05
1960 7 4 51.7 -124.2 607.00
1960 7 7 55.5 -96.4 728.75
1960 5 30 45.3643 -72.1991 1843.79
1960 7 22 50.4 -120.5 3862.30
1960 7 6 55.6 -96.717 971.66
1960 7 13 52.2 -118.3 849.80
1960 7 16 52.3627 -117.7196 2000.00
1960 7 14 49.8 -116.6 206.30
1960 7 12 51.71 -92.21 2023.00
1960 8 9 56.35 -103.57 364.37
1960 7 13 50.2 -115.1 2864.70
1960 7 18 51.7 -123.9 607.00
1960 7 9 54.678 -100.993 647.77
1960 7 4 55.817 -96.717 11133.60
1960 7 12 49.7 -121.8 2596.40
1960 7 13 49.3 -115.6 3723.90
1960 7 14 50.3 -121.2 526.00
1960 7 15 67.32 -136.857 329.73
1960 7 19 56.4 -120.1 323.70
1960 7 10 57.95 -108.25 212.55
1960 7 8 55.533 -99.867 485.83
1960 5 6 45 -64.82 216.00
1960 7 6 54.417 -93.433 202.43
1960 7 9 47.3 -53.78 2024.00
1960 7 13 51.6 -119.6 343.90
1960 7 10 58.97 -106.8 3886.63
1960 7 22 55.67 -105.8 728.74
1960 7 13 52.6 -119.3 4180.40
1960 7 24 50.3125 -93.875 405.00
1960 7 13 51.8 -119.1 226.60
1960 7 6 50.2 -120 271.10
1960 8 8 54.8 -121.5 2428.10
1960 7 13 51.9 -118.5 242.80
1960 7 13 52.7 -120.3 408.70
1960 10 6 51.681 -100.487 615.39
1960 7 3 63.02 -111.33 287.20
1960 7 8 51.1875 -93.875 3440.00
1960 7 9 53.649 -96.585 202.43
1960 7 18 57.853 -103.23 777.32
1960 7 13 50.8 -118.3 667.70
1960 7 18 58.17 -103.72 8194.33
1960 7 19 48.82 -54.63 2176.00
1960 7 13 50.7 -116.5 218.50
1960 7 9 53.678 -96.192 566.80
1960 6 24 53.7 -93.933 1821.86
1960 8 10 54.5 -120.9 224.60
1960 7 13 51.8 -119.2 594.80
1960 7 13 50.1 -116.6 1740.10
1960 7 11 58.825 -104.28 222.67
1960 7 13 50.9 -117.5 1052.10
1960 5 30 49.5326 -74.114 212.46
1960 5 29 48.3712 -68.1812 15151.76
1960 7 13 51.9 -119.4 326.90
1960 7 24 53 -124.9 3237.40
1960 5 30 50.4561 -71.2051 202.35
1960 5 31 48.2979 -67.4009 279.24
1960 7 12 58.1 -102.62 1052.63
1960 6 30 60 -119.5 455.20
1960 7 13 52.1 -119.1 728.40
1960 7 8 55.4 -100.542 445.34
1960 7 11 58.77 -103.72 1052.63
1960 7 9 54.671 -100.98 572.87
1960 7 13 51.3 -118.7 202.30
1960 7 11 58.77 -103.87 3627.53
1960 7 8 55.333 -101.783 2186.24
1960 7 21 57.48 -107.57 41625.91
1960 7 18 58.17 -103.85 518.21
1960 7 8 54.846 -101.798 919.03
1960 6 12 65.78 -136.6 679.82
