tau_inf	H1
0.400	1.07
0.401	1.07
0.402	1.07
0.403	1.07
0.404	1.07
0.405	1.07
0.406	1.07
0.407	1.07
0.408	1.07
0.409	1.07
0.410	1.07
0.411	1.07
0.412	1.07
0.413	1.07
0.414	1.07
0.415	1.07
0.416	1.06
0.417	1.06
0.418	1.06
0.419	1.06
0.420	1.06
0.421	1.06
0.422	1.06
0.423	1.06
0.424	1.06
0.425	1.06
0.426	1.06
0.427	1.06
0.428	1.06
0.429	1.06
0.430	1.06
0.431	1.06
0.432	1.06
0.433	1.05
0.434	1.05
0.435	1.05
0.436	1.05
0.437	1.05
0.438	1.05
0.439	1.05
0.440	1.05
0.441	1.05
0.442	1.05
0.443	1.05
0.444	1.05
0.445	1.05
0.446	1.05
0.447	1.05
0.448	1.05
0.449	1.05
0.450	1.05
0.451	1.05
0.452	1.05
0.453	1.05
0.454	1.05
0.455	1.05
0.456	1.05
0.457	1.05
0.458	1.05
0.459	1.04
0.460	1.04
0.461	1.04
0.462	1.04
0.463	1.04
0.464	1.04
0.465	1.04
0.466	1.04
0.467	1.04
0.468	1.04
0.469	1.04
0.470	1.04
0.471	1.04
0.472	1.04
0.473	1.04
0.474	1.04
0.475	1.04
0.476	1.04
0.477	1.04
0.478	1.04
0.479	1.04
0.480	1.04
0.481	1.04
0.482	1.04
0.483	1.04
0.484	1.04
0.485	1.04
0.486	1.04
0.487	1.04
0.488	1.04
0.489	1.04
0.490	1.03
0.491	1.03
0.492	1.03
0.493	1.03
0.494	1.03
0.495	1.03
0.496	1.03
0.497	1.03
0.498	1.03
0.499	1.03
0.500	1.03
0.501	1.03
0.502	1.03
0.503	1.03
0.504	1.03
0.505	1.03
0.506	1.03
0.507	1.03
0.508	1.03
0.509	1.03
0.510	1.03
0.511	1.03
0.512	1.03
0.513	1.03
0.514	1.03
0.515	1.03
0.516	1.03
0.517	1.03
0.518	1.03
0.519	1.03
0.520	1.03
0.521	1.03
0.522	1.03
0.523	1.02
0.524	1.02
0.525	1.02
0.526	1.02
