0.6675	171	255	0
0.67	173	255	0
0.6725	176	255	0
0.675	178	255	0
0.6775	181	255	0
0.68	183	255	0
0.6825	186	255	0
0.685	188	255	0
0.6875	191	255	0
0.69	194	255	0
0.6925	196	255	0
0.695	199	255	0
0.6975	201	255	0
0.7	204	255	0
0.7025	206	255	0
0.705	209	255	0
0.7075	211	255	0
0.71	214	255	0
0.7125	217	255	0
0.715	219	255	0
0.7175	222	255	0
0.72	224	255	0
0.7225	227	255	0
0.725	229	255	0
0.7275	232	255	0
0.73	235	255	0
0.7325	237	255	0
0.735	240	255	0
0.7375	242	255	0
0.74	245	255	0
0.7425	247	255	0
0.745	250	255	0
0.7475	252	255	0
0.75	255	255	0
0.7525	255	252	0
0.755	255	250	0
0.7575	255	247	0
0.76	255	245	0
0.7625	255	242	0
0.765	255	240	0
0.7675	255	237	0
0.77	255	235	0
0.7725	255	232	0
0.775	255	229	0
0.7775	255	227	0
0.78	255	224	0
0.7825	255	222	0
0.785	255	219	0
0.7875	255	217	0
0.79	255	214	0
0.7925	255	211	0
0.795	255	209	0
0.7975	255	206	0
0.8	255	204	0
0.8025	255	201	0
0.805	255	199	0
0.8075	255	196	0
0.81	255	194	0
0.8125	255	191	0
0.815	255	188	0
0.8175	255	186	0
0.82	255	183	0
0.8225	255	181	0
0.825	255	178	0
0.8275	255	176	0
0.83	255	173	0
0.8325	255	171	0
0.835	255	168	0
0.8375	255	165	0
0.84	255	163	0
0.8425	255	160	0
0.845	255	158	0
0.8475	255	155	0
0.85	255	153	0
0.8525	255	150	0
0.855	255	147	0
0.8575	255	145	0
0.86	255	142	0
0.8625	255	140	0
0.865	255	137	0
0.8675	255	135	0
0.87	255	132	0
0.8725	255	130	0
0.875	255	127	0
0.8775	255	124	0
0.88	255	122	0
0.8825	255	119	0
0.885	255	117	0
0.8875	255	114	0
0.89	255	112	0
0.8925	255	109	0
0.895	255	107	0
0.8975	255	104	0
0.9	255	102	0
0.9025	255	99	0
0.905	255	97	0
0.9075	255	94	0
0.91	255	91	0
0.9125	255	89	0
0.915	255	86	0
0.9175	255	84	0
0.92	255	81	0
0.9225	255	79	0
0.925	255	76	0
0.9275	255	74	0
0.93	255	71	0
0.9325	255	69	0
0.935	255	66	0
0.9375	255	64	0
0.94	255	61	0
0.9425	255	58	0
0.945	255	56	0
0.9475	255	53	0
0.95	255	51	0
0.9525	255	48	0
0.955	255	46	0
0.9575	255	43	0
0.96	255	41	0
0.9625	255	38	0
0.965	255	36	0
0.9675	255	33	0
0.97	255	30	0
0.9725	255	28	0
0.975	255	25	0
0.9775	255	23	0
0.98	255	20	0
0.9825	255	18	0
0.985	255	15	0
0.9875	255	13	0
0.99	255	10	0
0.9925	255	8	0
0.995	255	5	0
0.9975	255	3	0
1	255	0	0
