 From deresol.f
 Units of 1E+4 part/m^3
 25036 15432 6887 30801 5250 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  6
 21955 13533 6039 27010 4604 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  7
 18879 11636 5193 23226 3959 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  8
 15800 9739 4346 19438 3313 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL:  9
 1132 1132 1132 1132 1132 1132
# AEROSOL TYPE: SULFATE   SIZE BIN:  5 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  1
 5194 3204 1449 6481 1092 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  2
 4765 2939 1330 5946 1002 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  3
 4337 2675 1210 5412 912 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  4
 3910 2412 1091 4879 822 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  5
 3482 2148 972 4345 732 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  6
 3054 1883 852 3810 642 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  7
 2626 1620 733 3276 552 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  8
 2198 1356 613 2742 462 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL:  9
 159 159 159 159 159 159
# AEROSOL TYPE: SULFATE   SIZE BIN:  6 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  1
 366 226 103 461 77 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  2
 336 207 95 423 71 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  3
 305 188 86 385 64 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  4
 275 170 78 347 58 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  5
 245 151 69 309 52 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  6
 215 133 61 271 45 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  7
 185 114 52 233 39 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  8
 155 96 43 195 33 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL:  9
 11 11 11 11 11 11
# AEROSOL TYPE: SULFATE   SIZE BIN:  7 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  1
 26 16 7 33 5 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  2
 24 15 7 30 5 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  3
 22 14 6 27 5 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  4
 20 12 5 25 4 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  5
 18 11 5 22 4 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  6
 16 10 4 19 3 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  7
 13 8 4 16 3 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  8
 11 7 3 14 2 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  8 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  1
 6 4 2 8 1 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  2
 6 4 2 7 1 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  3
 5 3 1 6 1 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  4
 5 3 1 6 1 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  5
 4 3 1 5 1 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  6
 4 2 1 4 1 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  7
 3 2 1 4 1 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  8
 3 2 1 3 1 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN:  9 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  1
 1 1 0 2 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  2
 1 1 0 1 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  3
 1 1 0 1 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  4
 1 1 0 1 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  5
 1 1 0 1 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  6
 1 0 0 1 0 0
# AEROSOL TYPE: SULFATE   SIZE BIN: 10 VERTICAL LEVEL:  7
